"V1"	"V2"	"complex"
"1"	"ACTL6A"	"ACTB"	"BAF complex"
"2"	"ACTL6B"	"ACTB"	"BAF complex"
"3"	"ARID1A"	"ACTB"	"BAF complex"
"4"	"ARID1B"	"ACTB"	"BAF complex"
"5"	"SMARCA2"	"ACTB"	"BAF complex"
"6"	"SMARCA4"	"ACTB"	"BAF complex"
"7"	"SMARCB1"	"ACTB"	"BAF complex"
"8"	"SMARCC1"	"ACTB"	"BAF complex"
"9"	"SMARCC2"	"ACTB"	"BAF complex"
"10"	"SMARCD1"	"ACTB"	"BAF complex"
"11"	"SMARCE1"	"ACTB"	"BAF complex"
"12"	"SMARCD3"	"ACTB"	"BAF complex"
"13"	"PBRM1"	"ACTB"	"BAF complex"
"14"	"PHF10"	"ACTB"	"BAF complex"
"15"	"DPF3"	"ACTB"	"BAF complex"
"16"	"DPF1"	"ACTB"	"BAF complex"
"17"	"DPF2"	"ACTB"	"BAF complex"
"18"	"ACTL6B"	"ACTL6A"	"BAF complex"
"19"	"ARID1A"	"ACTL6A"	"BAF complex"
"20"	"ARID1B"	"ACTL6A"	"BAF complex"
"21"	"SMARCA2"	"ACTL6A"	"BAF complex"
"22"	"SMARCA4"	"ACTL6A"	"BAF complex"
"23"	"SMARCB1"	"ACTL6A"	"BAF complex"
"24"	"SMARCC1"	"ACTL6A"	"BAF complex"
"25"	"SMARCC2"	"ACTL6A"	"BAF complex"
"26"	"SMARCD1"	"ACTL6A"	"BAF complex"
"27"	"SMARCE1"	"ACTL6A"	"BAF complex"
"28"	"SMARCD3"	"ACTL6A"	"BAF complex"
"29"	"PBRM1"	"ACTL6A"	"BAF complex"
"30"	"PHF10"	"ACTL6A"	"BAF complex"
"31"	"DPF3"	"ACTL6A"	"BAF complex"
"32"	"DPF1"	"ACTL6A"	"BAF complex"
"33"	"DPF2"	"ACTL6A"	"BAF complex"
"34"	"ARID1A"	"ACTL6B"	"BAF complex"
"35"	"ARID1B"	"ACTL6B"	"BAF complex"
"36"	"SMARCA2"	"ACTL6B"	"BAF complex"
"37"	"SMARCA4"	"ACTL6B"	"BAF complex"
"38"	"SMARCB1"	"ACTL6B"	"BAF complex"
"39"	"SMARCC1"	"ACTL6B"	"BAF complex"
"40"	"SMARCC2"	"ACTL6B"	"BAF complex"
"41"	"SMARCD1"	"ACTL6B"	"BAF complex"
"42"	"SMARCE1"	"ACTL6B"	"BAF complex"
"43"	"SMARCD3"	"ACTL6B"	"BAF complex"
"44"	"PBRM1"	"ACTL6B"	"BAF complex"
"45"	"PHF10"	"ACTL6B"	"BAF complex"
