"V1"	"V2"	"complex"
"1"	"EP300"	"CREBBP"	"Multisubunit ACTR coactivator complex"
"2"	"KAT2B"	"EP300"	"Multisubunit ACTR coactivator complex"
"3"	"NCOA3"	"EP300"	"Multisubunit ACTR coactivator complex"
"4"	"KAT2B"	"CREBBP"	"Multisubunit ACTR coactivator complex"
"5"	"NCOA3"	"CREBBP"	"Multisubunit ACTR coactivator complex"
"6"	"NCOA3"	"KAT2B"	"Multisubunit ACTR coactivator complex"
"7"	"SMC2"	"NCAPH"	"Condensin I complex"
"8"	"SMC2"	"NCAPD2"	"Condensin I complex"
"9"	"SMC2"	"NCAPG"	"Condensin I complex"
"10"	"SMC4"	"SMC2"	"Condensin I complex"
"11"	"NCAPH"	"NCAPD2"	"Condensin I complex"
"12"	"NCAPH"	"NCAPG"	"Condensin I complex"
"13"	"SMC4"	"NCAPH"	"Condensin I complex"
"14"	"NCAPG"	"NCAPD2"	"Condensin I complex"
"15"	"SMC4"	"NCAPD2"	"Condensin I complex"
"16"	"SMC4"	"NCAPG"	"Condensin I complex"
"17"	"HPS6"	"HPS3"	"BLOC-2 (biogenesis of lysosome-related organelles complex 2)"
"18"	"HPS6"	"HPS5"	"BLOC-2 (biogenesis of lysosome-related organelles complex 2)"
"19"	"HPS5"	"HPS3"	"BLOC-2 (biogenesis of lysosome-related organelles complex 2)"
"20"	"TBL1X"	"HDAC3"	"NCOR complex"
"21"	"NCOR1"	"HDAC3"	"NCOR complex"
"22"	"HDAC3"	"GPS2"	"NCOR complex"
"23"	"HDAC3"	"CORO2A"	"NCOR complex"
"24"	"TBL1XR1"	"HDAC3"	"NCOR complex"
"25"	"TBL1X"	"NCOR1"	"NCOR complex"
"26"	"TBL1X"	"GPS2"	"NCOR complex"
"27"	"TBL1X"	"CORO2A"	"NCOR complex"
"28"	"TBL1XR1"	"TBL1X"	"NCOR complex"
"29"	"NCOR1"	"GPS2"	"NCOR complex"
"30"	"NCOR1"	"CORO2A"	"NCOR complex"
"31"	"TBL1XR1"	"NCOR1"	"NCOR complex"
"32"	"GPS2"	"CORO2A"	"NCOR complex"
"33"	"TBL1XR1"	"GPS2"	"NCOR complex"
"34"	"TBL1XR1"	"CORO2A"	"NCOR complex"
"35"	"SNAPIN"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"36"	"SNAPIN"	"BLOC1S3"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"37"	"SNAPIN"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"38"	"SNAPIN"	"BLOC1S5"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"39"	"SNAPIN"	"DTNBP1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"40"	"SNAPIN"	"BLOC1S4"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"41"	"SNAPIN"	"BLOC1S6"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"42"	"BLOC1S3"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"43"	"BLOC1S2"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"44"	"BLOC1S5"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"45"	"DTNBP1"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"46"	"BLOC1S4"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"47"	"BLOC1S6"	"BLOC1S1"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"48"	"BLOC1S3"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"49"	"BLOC1S5"	"BLOC1S3"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"50"	"DTNBP1"	"BLOC1S3"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"51"	"BLOC1S4"	"BLOC1S3"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"52"	"BLOC1S6"	"BLOC1S3"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
"53"	"BLOC1S5"	"BLOC1S2"	"BLOC-1 (biogenesis of lysosome-related organelles complex 1)"
