"V1"	"V2"	"complex"
"1"	"CREBBP"	"EP300"	"Multisubunit ACTR coactivator complex"
"2"	"EP300"	"KAT2B"	"Multisubunit ACTR coactivator complex"
"3"	"EP300"	"NCOA3"	"Multisubunit ACTR coactivator complex"
"4"	"CREBBP"	"KAT2B"	"Multisubunit ACTR coactivator complex"
"5"	"KAT2B"	"NCOA3"	"Multisubunit ACTR coactivator complex"
"6"	"CORO2A"	"HDAC3"	"NCOR complex"
"7"	"CORO2A"	"TBL1X"	"NCOR complex"
"8"	"CORO2A"	"NCOR1"	"NCOR complex"
"9"	"CORO2A"	"GPS2"	"NCOR complex"
"10"	"CORO2A"	"TBL1XR1"	"NCOR complex"
"11"	"RAB5A"	"RABEP1"	"RAB5A-RABEP1-RABGEF complex"
"12"	"RAB5A"	"RABGEF1"	"RAB5A-RABEP1-RABGEF complex"
"13"	"RABEP1"	"RABGEF1"	"RAB5A-RABEP1-RABGEF complex"
"14"	"AP3B1"	"AP3M2"	"AP3 adaptor complex"
"15"	"AP3D1"	"AP3M2"	"AP3 adaptor complex"
"16"	"AP3M2"	"AP3S2"	"AP3 adaptor complex"
"17"	"AP3B2"	"AP3M2"	"AP3 adaptor complex"
"18"	"AP3M2"	"AP3S1"	"AP3 adaptor complex"
"19"	"AP3M1"	"AP3M2"	"AP3 adaptor complex"
"20"	"MED14"	"MED24"	"TRAP complex"
"21"	"MED14"	"THRA"	"TRAP complex"
"22"	"MED1"	"MED14"	"TRAP complex"
"23"	"MED12"	"MED14"	"TRAP complex"
"24"	"MED14"	"MED17"	"TRAP complex"
"25"	"MED14"	"THRAP3"	"TRAP complex"
"26"	"MED14"	"MED16"	"TRAP complex"
"27"	"MED24"	"THRA"	"TRAP complex"
"28"	"MED1"	"MED24"	"TRAP complex"
"29"	"MED12"	"MED24"	"TRAP complex"
"30"	"MED24"	"THRAP3"	"TRAP complex"
"31"	"MED16"	"MED24"	"TRAP complex"
"32"	"MED1"	"THRA"	"TRAP complex"
"33"	"MED12"	"THRA"	"TRAP complex"
"34"	"MED17"	"THRA"	"TRAP complex"
"35"	"THRA"	"THRAP3"	"TRAP complex"
"36"	"MED16"	"THRA"	"TRAP complex"
"37"	"MED1"	"MED12"	"TRAP complex"
"38"	"MED1"	"MED17"	"TRAP complex"
"39"	"MED1"	"THRAP3"	"TRAP complex"
